"OBJECT","OLD_ROUTE","NEO_ROUTE","DATA_SOURCE","OTHER_NEO_SURFACE","OLD_PAGE_IN_LAST_BUILD","NEO_PAGE_IN_LAST_BUILD","STATUS","NOTES"
"MARD","/object/MARD/","/neo/object/MARD/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"MARM","/object/MARM/","/neo/object/MARM/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 1 neighbours / 1 dictionary rows"
"MAST","/object/MAST/","/neo/object/MAST/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 4 neighbours / 2 dictionary rows"
"MBEW","/object/MBEW/","/neo/object/MBEW/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 1 neighbours / 1 dictionary rows"
"MCH1","/object/MCH1/","/neo/object/MCH1/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 7 fields / 2 neighbours / 1 dictionary rows"
"MCHA","/object/MCHA/","/neo/object/MCHA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"MDMA","/object/MDMA/","/neo/object/MDMA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"MEAN","/object/MEAN/","/neo/object/MEAN/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"MHIO","/object/MHIO/","/neo/object/MHIO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 2 neighbours / 1 dictionary rows"
"MHIS","/object/MHIS/","/neo/object/MHIS/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"MKAL","/object/MKAL/","/neo/object/MKAL/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 15 fields / 1 neighbours / 1 dictionary rows"
"MKPF","/object/MKPF/","/neo/object/MKPF/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"MLAN","/object/MLAN/","/neo/object/MLAN/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"MLGN","/object/MLGN/","/neo/object/MLGN/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"MLGT","/object/MLGT/","/neo/object/MLGT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"MPLA","/object/MPLA/","/neo/object/MPLA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 3 neighbours / 1 dictionary rows"
"MPOS","/object/MPOS/","/neo/object/MPOS/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 3 neighbours / 1 dictionary rows"
"MSEG","/object/MSEG/","/neo/object/MSEG/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 1 dictionary rows"
"MVKE","/object/MVKE/","/neo/object/MVKE/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"OBJK","/object/OBJK/","/neo/object/OBJK/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"ODP_Queue","/object/ODP_Queue/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/ODP_Queue/ exists, /neo/object/ODP_Queue/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"ONB_Task","/object/ONB_Task/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/ONB_Task/ exists, /neo/object/ONB_Task/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"OpenODSView","/object/OpenODSView/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/OpenODSView/ exists, /neo/object/OpenODSView/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0000","/object/PA0000/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0000/ exists, /neo/object/PA0000/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0001","/object/PA0001/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0001/ exists, /neo/object/PA0001/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0002","/object/PA0002/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0002/ exists, /neo/object/PA0002/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0006","/object/PA0006/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0006/ exists, /neo/object/PA0006/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0007","/object/PA0007/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0007/ exists, /neo/object/PA0007/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0008","/object/PA0008/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0008/ exists, /neo/object/PA0008/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA0016","/object/PA0016/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA0016/ exists, /neo/object/PA0016/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA2001","/object/PA2001/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA2001/ exists, /neo/object/PA2001/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PA2006","/object/PA2006/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PA2006/ exists, /neo/object/PA2006/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PCL2","/object/PCL2/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PCL2/ exists, /neo/object/PCL2/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PLAS","/object/PLAS/","/neo/object/PLAS/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 1 dictionary rows"
"PLFL","/object/PLFL/","/neo/object/PLFL/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"PLKO","/object/PLKO/","/neo/object/PLKO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 7 fields / 6 neighbours / 2 dictionary rows"
"PLMK","/object/PLMK/","/neo/object/PLMK/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 1 neighbours / 1 dictionary rows"
"PLMZ","/object/PLMZ/","/neo/object/PLMZ/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"PLPO","/object/PLPO/","/neo/object/PLPO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 10 fields / 6 neighbours / 2 dictionary rows"
"PLZU","/object/PLZU/","/neo/object/PLZU/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"PM_Goal","/object/PM_Goal/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PM_Goal/ exists, /neo/object/PM_Goal/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"PM_PerformanceForm","/object/PM_PerformanceForm/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/PM_PerformanceForm/ exists, /neo/object/PM_PerformanceForm/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"QMAT","/object/QMAT/","/neo/object/QMAT/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"QMEL","/object/QMEL/","/neo/object/QMEL/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 7 neighbours / 1 dictionary rows"
"QMFE","/object/QMFE/","/neo/object/QMFE/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 1 dictionary rows"
"QMMA","/object/QMMA/","/neo/object/QMMA/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"QMSM","/object/QMSM/","/neo/object/QMSM/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"QMUR","/object/QMUR/","/neo/object/QMUR/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"QPCD","/object/QPCD/","/neo/object/QPCD/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"QPGR","/object/QPGR/","/neo/object/QPGR/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"RCM_Candidate","/object/RCM_Candidate/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RCM_Candidate/ exists, /neo/object/RCM_Candidate/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RCM_JobRequisition","/object/RCM_JobRequisition/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RCM_JobRequisition/ exists, /neo/object/RCM_JobRequisition/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RESB","/object/RESB/","/neo/object/RESB/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 2 neighbours / 2 dictionary rows"
"ROOSFIELD","/object/ROOSFIELD/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/ROOSFIELD/ exists, /neo/object/ROOSFIELD/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"ROOSOURCE","/object/ROOSOURCE/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/ROOSOURCE/ exists, /neo/object/ROOSOURCE/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSBKDTP","/object/RSBKDTP/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSBKDTP/ exists, /neo/object/RSBKDTP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSDCUBE","/object/RSDCUBE/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSDCUBE/ exists, /neo/object/RSDCUBE/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSDIOBJ","/object/RSDIOBJ/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSDIOBJ/ exists, /neo/object/RSDIOBJ/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSDIOBJT","/object/RSDIOBJT/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSDIOBJT/ exists, /neo/object/RSDIOBJT/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSDODSO","/object/RSDODSO/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSDODSO/ exists, /neo/object/RSDODSO/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSDS","/object/RSDS/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSDS/ exists, /neo/object/RSDS/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSECVAL","/object/RSECVAL/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSECVAL/ exists, /neo/object/RSECVAL/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSPCCHAIN","/object/RSPCCHAIN/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSPCCHAIN/ exists, /neo/object/RSPCCHAIN/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSPCLOGCHAIN","/object/RSPCLOGCHAIN/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSPCLOGCHAIN/ exists, /neo/object/RSPCLOGCHAIN/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSRREPDIR","/object/RSRREPDIR/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSRREPDIR/ exists, /neo/object/RSRREPDIR/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSTRAN","/object/RSTRAN/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSTRAN/ exists, /neo/object/RSTRAN/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSZCOMPDIR","/object/RSZCOMPDIR/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSZCOMPDIR/ exists, /neo/object/RSZCOMPDIR/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
